sitecode,speed_no_lag_corr,speed_lag_corr
BT8,-0.286058693,-0.247439895
BT6,-0.269920946,-0.228708818
BT5,-0.149762139,-0.133424276
GN0,-0.205899891,-0.166742528
GR7,-0.330024975,-0.265861816
GN4,-0.367502851,-0.331912413
GN6,-0.195396286,-0.179524695
GN3,-0.335287691,-0.274525611
GN5,-0.444473068,-0.396587266
TL4,-0.146433443,-0.138828949
IS2,-0.326653341,-0.281973654
KT6,-0.196176766,-0.159235835
LB4,-0.446710194,-0.410194676
LW6,-0.167378056,-0.126263816
LW4,-8.08E-05,0.007773413
LW2,-0.389775477,-0.334997994
TL6,-0.10129749,-0.071003415
NM4,-0.375950973,-0.323113715
CE3,-0.529053893,-0.52759619
RI1,0.049742842,0.080147751
SKA,-0.165423325,-0.154544311
SKC,-0.223991587,-0.168194869
SK8,-0.306566168,-0.275273868
SKB,-0.361767872,-0.340528701
CW3,-0.141937878,-0.100184728
TH2,-0.22138872,-0.194320195
WAA,-0.266854871,-0.231747773
WAC,-0.383058444,-0.325975793
WA7,-0.442077761,-0.429591304
WA8,-0.602009252,-0.597338774
WAB,-0.209985529,-0.207981241
WA2,-0.365248701,-0.334914889
CE2,-0.359339525,-0.368455995
MY1,-0.286472729,-0.252724527
WM6,-0.607814052,-0.593158433
